,index,Valore_max_mean,Valore_max_std,Data
147,147,26.349666666666668,4.986132099198495,2020-05-27
148,148,27.157869047619045,3.1902886095576437,2020-05-28
149,149,26.252226190476186,4.282563654162747,2020-05-29
150,150,27.17810714285714,3.1954228954658497,2020-05-30
151,151,26.959238095238096,2.6709139772600126,2020-05-31
152,152,28.674630952380955,1.3945942060595347,2020-06-01
153,153,29.407666666666664,2.26186572898652,2020-06-02
154,154,30.214119047619043,1.6372955974969106,2020-06-03
155,155,27.563309523809522,5.297307580731487,2020-06-04
156,156,28.128285714285717,1.8001459250499443,2020-06-05
157,157,26.789214285714287,2.5765925380515364,2020-06-06
158,158,26.419488095238098,3.2226426931292522,2020-06-07
159,159,26.624166666666667,2.5624627230295673,2020-06-08
160,160,27.756666666666668,2.8768237831617505,2020-06-09
161,161,28.798250000000003,3.2104829973679805,2020-06-10
162,162,28.6882380952381,3.8147839933736467,2020-06-11
163,163,29.544416666666667,3.0171212896665196,2020-06-12
164,164,30.38836904761905,4.239542224641493,2020-06-13
165,165,30.618130952380955,2.32406509758357,2020-06-14
166,166,29.964964285714284,1.4282995299284669,2020-06-15
167,167,31.280898351648354,2.6418306576238866,2020-06-16
168,168,31.140047619047618,3.6327874457295666,2020-06-17
169,169,30.991714285714284,2.6474351940276017,2020-06-18
170,170,31.18102380952381,2.0934771814337227,2020-06-19
171,171,31.699821428571433,1.8957211757584034,2020-06-20
172,172,32.53628571428571,1.091909455267877,2020-06-21
173,173,31.42734523809524,3.261356478620604,2020-06-22
174,174,31.53933333333333,2.559377262692845,2020-06-23
175,175,31.969809523809523,2.925565735936118,2020-06-24
176,176,30.96553571428571,3.0326499502354825,2020-06-25
177,177,31.64684523809524,2.938128970271167,2020-06-26
178,178,32.52059523809523,3.236740466329032,2020-06-27
179,179,32.65148809523809,3.0410478805163477,2020-06-28
180,180,30.83565476190476,2.330781139588887,2020-06-29
181,181,31.039011904761907,2.502671666119168,2020-06-30
182,182,31.038154761904764,2.3483561555610946,2020-07-01
183,183,31.224833333333333,0.9950771956403406,2020-07-02
184,184,31.399607142857143,1.1867823314727592,2020-07-03
185,185,29.97188095238095,3.1519614708853245,2020-07-04
186,186,31.912678571428568,1.6878145387972252,2020-07-05
187,187,33.25884523809524,1.321101565341104,2020-07-06
188,188,32.37082142857143,2.9167793152444474,2020-07-07
189,189,32.45944047619048,2.4664953931678326,2020-07-08
190,190,31.342690476190477,0.7687762107693609,2020-07-09
191,191,32.02605952380952,1.8385657631247436,2020-07-10
192,192,29.35725,2.240322138225113,2020-07-11
