IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location
5549,Biossido di Azoto,µg/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,22/04/1995,,5034328,490635,45.462415791106615,8.880210433125571,"(45.462415791106615, 8.880210433125571)"
5718,Ozono,µg/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,29/07/1995,,5034328,490635,45.462415791106615,8.880210433125571,"(45.462415791106615, 8.880210433125571)"
10078,Ossidi di Azoto,µg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N,20/12/2006,,5030184,631718,45.41277169168634,10.683357343786835,"(45.41277169168634, 10.683357343786835)"
5688,Biossido di Zolfo,µg/m³,578,Varenna v.Polvani,220,LC,Varenna,S,17/02/1991,20/03/2001,5095134,522088,46.00942283474235,9.285304059583972,"(46.00942283474235, 9.285304059583972)"
5825,Monossido di Carbonio,mg/m³,531,Pioltello Limito,114,MI,Pioltello,N,11/11/1994,,5036730,525583,45.48363035323249,9.327360033215145,"(45.48363035323249, 9.327360033215145)"
5733,Ozono,µg/m³,574,Lecco v. Amendola,214,LC,Lecco,S,17/02/1991,28/03/2007,5077479,530713,45.850191194578535,9.395577066893223,"(45.850191194578535, 9.395577066893223)"
6922,PM10 (SM2005),µg/m³,566,Olgiate Comasco v.Roma,404,CO,Olgiate Comasco,S,01/02/1995,15/04/2010,5070038,497388,45.78389725453634,8.966397886811311,"(45.78389725453634, 8.966397886811311)"
10143,Biossido di Azoto,µg/m³,701,Ostiglia v.Colombo,14,MN,Ostiglia,S,29/11/2006,01/01/2017,4993316,668216,45.073311155731965,11.137034007299844,"(45.073311155731965, 11.137034007299844)"
6264,Ossidi di Azoto,µg/m³,608,Codogno v.Trento,59,LO,Codogno,N,13/01/2000,,5000892,554872,45.15937280234111,9.69814824935254,"(45.15937280234111, 9.69814824935254)"
10511,Monossido di Carbonio,mg/m³,1269,Dalmine v.Verdi,207,BG,Dalmine,N,12/02/2010,,5055304,546847,45.64970251236247,9.601223338785262,"(45.64970251236247, 9.601223338785262)"
17040,Nikel,ng/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,13/01/2012,,5059922,550116,45.69103740547214,9.643650579461385,"(45.69103740547214, 9.643650579461385)"
6651,Particolato Totale Sospeso,µg/m³,503,Milano P.zza Zavattari,122,MI,Milano,S,11/05/1990,01/08/1999,5035847,511082,45.47606340509791,9.141786267186658,"(45.47606340509791, 9.141786267186658)"
9896,Ossidi di Azoto,µg/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,N,10/11/2005,,5038450,543458,45.49822713394494,9.556232262351761,"(45.49822713394494, 9.556232262351761)"
12570,Particelle sospese PM2.5,µg/m³,561,Como v.Cattaneo,202,CO,Como,N,23/09/2011,,5073500,505203,45.81504286011291,9.06697137484454,"(45.81504286011291, 9.06697137484454)"
17163,Benzene,µg/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,05/10/2012,,5080789,591371,45.87460210989037,10.17735680898138,"(45.87460210989037, 10.17735680898138)"
9983,Particelle sospese PM2.5,µg/m³,672,Cornale v.Libertà,74,PV,Cornale,N,02/02/2006,,4987406,493238,45.04007657202963,8.914144599002409,"(45.04007657202963, 8.914144599002409)"
6629,Particolato Totale Sospeso,µg/m³,600,Lodi v.Vignati,80,LO,Lodi,S,30/12/1999,08/01/2001,5017060,538042,45.30601298752377,9.48526286320174,"(45.30601298752377, 9.48526286320174)"
10413,PM10 (SM2005),µg/m³,1263,Villa di Serio v. Glera,280,BG,Villa di Serio,S,07/10/2008,30/07/2018,5064969,557447,45.73589144532835,9.738394788043442,"(45.73589144532835, 9.738394788043442)"
6685,Biossido di Azoto,µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N,01/06/2002,,5004590,512932,45.19467609907785,9.164638300630086,"(45.19467609907785, 9.164638300630086)"
9918,Ossidi di Azoto,µg/m³,664,Mantova p.zza Gramsci,18,MN,Mantova,N,08/06/2004,,5001351,640031,45.151743379576594,10.78140770009565,"(45.151743379576594, 10.78140770009565)"
20495,Biossido di Azoto,µg/m³,1801,Brescia v.Tartaglia,151,BS,Brescia,N,,,5043948,594556,45.542647891822845,10.211205215118259,"(45.542647891822845, 10.211205215118259)"
5508,Biossido di Azoto,µg/m³,505,Legnano v.Diaz,199,MI,Legnano,S,10/01/1990,30/07/2018,5049180,493668,45.596133932132915,8.91881399306327,"(45.596133932132915, 8.91881399306327)"
5801,Monossido di Carbonio,mg/m³,562,Mariano Comense v.le Lombardia,256,CO,Mariano Comense,S,18/12/1991,04/01/2012,5059472,514067,45.68865731381679,9.180657768638271,"(45.68865731381679, 9.180657768638271)"
10072,PM10 (SM2005),µg/m³,693,Sannazzaro de' Burgondi v.Traversi,85,PV,Sannazzaro de' Burgondi,N,01/01/2007,,4994371,492461,45.10276627684137,8.90417452771467,"(45.10276627684137, 8.90417452771467)"
6394,Ossidi di Azoto,µg/m³,559,Somma Lombardo v.Facchinetti,210,VA,Somma Lombardo,S,21/03/2000,30/07/2018,5055150,477613,45.649537127292405,8.71269145828479,"(45.649537127292405, 8.71269145828479)"
6934,PM10 (SM2005),µg/m³,591,Seriate v. Garibaldi,256,BG,Seriate,S,28/01/2000,12/08/2003,5059449,555672,45.68635606439914,9.714947917631529,"(45.68635606439914, 9.714947917631529)"
6208,Ossidi di Azoto,µg/m³,595,Filago v.Don Milani,190,BG,Filago,N,06/03/1992,,5053519,543342,45.63386450908066,9.556084255790864,"(45.63386450908066, 9.556084255790864)"
6005,Benzene,µg/m³,627,Cremona P.zza Cadorna,39,CR,Cremona,N,16/05/2002,,4998110,579872,45.13194691285173,10.015741513336042,"(45.13194691285173, 10.015741513336042)"
6252,Ossidi di Azoto,µg/m³,576,Merate v. Madonna di Loreto,279,LC,Merate,N,01/01/1991,,5060569,531623,45.69795198970243,9.406190938686596,"(45.69795198970243, 9.406190938686596)"
5661,Biossido di Zolfo,µg/m³,591,Seriate v. Garibaldi,256,BG,Seriate,S,31/10/1991,03/06/2003,5059449,555672,45.68635606439914,9.714947917631529,"(45.68635606439914, 9.714947917631529)"
17041,Piombo,ng/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,13/01/2012,,5059922,550116,45.69103740547214,9.643650579461385,"(45.69103740547214, 9.643650579461385)"
6396,Ossidi di Azoto,µg/m³,553,Saronno v.Marconi,211,VA,Saronno,S,23/06/1993,03/12/2003,5052270,502902,45.62396968592561,9.037226525673523,"(45.62396968592561, 9.037226525673523)"
5541,Biossido di Azoto,µg/m³,538,Settimo Milanese v. Della Libertà,132,MI,Settimo Milanese,S,27/05/1992,30/07/2018,5036306,504444,45.480268785554635,9.056862031759728,"(45.480268785554635, 9.056862031759728)"
12621,Cadmio,ng/m³,542,Meda v. Gagarin,222,MB,Meda,N,18/04/2008,,5056480,512203,45.66176219189168,9.156643984551597,"(45.66176219189168, 9.156643984551597)"
5614,Biossido di Zolfo,µg/m³,527,Castano Primo v. Olimpiadi,175,MI,Castano Primo,S,18/12/1989,04/12/2009,5043625,482522,45.54594268367404,8.776104584370271,"(45.54594268367404, 8.776104584370271)"
9925,Ozono,µg/m³,677,Cremona Via Fatebenefratelli,43,CR,Cremona,N,08/04/2006,,4999315,582066,45.14254063221695,10.043836158369393,"(45.14254063221695, 10.043836158369393)"
10283,Particelle sospese PM2.5,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,29/03/2007,,5036190,518405,45.47899606168744,9.235491038497502,"(45.47899606168744, 9.235491038497502)"
6412,Ossidi di Azoto,µg/m³,627,Cremona P.zza Cadorna,39,CR,Cremona,N,01/01/2002,,4998110,579872,45.13194691285173,10.015741513336042,"(45.13194691285173, 10.015741513336042)"
5799,Monossido di Carbonio,mg/m³,564,Erba v. Battisti,279,CO,Erba,S,01/01/2009,05/03/2014,5072803,517232,45.808573806922965,9.221779204488435,"(45.808573806922965, 9.221779204488435)"
5516,Biossido di Azoto,µg/m³,513,Trezzo sull'Adda v.Nenni,199,MI,Trezzo sull'Adda,S,22/02/2001,01/01/2017,5051253,539618,45.61369175877737,9.50812248390592,"(45.61369175877737, 9.50812248390592)"
10023,Monossido di Carbonio,mg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,N,30/06/2006,,5059767,537706,45.69042907854514,9.484260927647789,"(45.69042907854514, 9.484260927647789)"
10166,Benzene,µg/m³,703,Schivenoglia v. Malpasso,NULL,MN,Schivenoglia,N,29/11/2006,,4986922,663580,45.016877820755425,11.07609463264049,"(45.016877820755425, 11.07609463264049)"
5852,Monossido di Carbonio,mg/m³,553,Saronno v.Marconi,211,VA,Saronno,S,15/06/1993,04/01/2012,5052270,502902,45.62396968592561,9.037226525673523,"(45.62396968592561, 9.037226525673523)"
12590,Cadmio,ng/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,01/04/2008,,5040636,593101,45.513038818653754,10.19194188877931,"(45.513038818653754, 10.19194188877931)"
12684,Nikel,ng/m³,633,Soresina v. Landriani,70,CR,Soresina,N,01/04/2008,,5014860,567712,45.28397715446764,9.863398419993635,"(45.28397715446764, 9.863398419993635)"
9999,Biossido di Azoto,µg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,N,17/02/2006,,5041567,540293,45.52647254585104,9.515980483627096,"(45.52647254585104, 9.515980483627096)"
10133,Monossido di Carbonio,mg/m³,700,Melara v. dell'Artigianato,12,RO,Melara,S,28/11/2006,,4992347,673928,45.063214361613305,11.20921074969938,"(45.063214361613305, 11.20921074969938)"
10083,PM10 (SM2005),µg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N,20/12/2006,,5030184,631718,45.41277169168634,10.683357343786835,"(45.41277169168634, 10.683357343786835)"
17085,Cadmio,ng/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,S,01/04/2008,26/12/2011,5113078,567173,46.16796681227828,9.87014407497457,"(46.16796681227828, 9.87014407497457)"
5534,Biossido di Azoto,µg/m³,531,Pioltello Limito,114,MI,Pioltello,N,23/05/1989,,5036730,525583,45.48363035323249,9.327360033215145,"(45.48363035323249, 9.327360033215145)"
10025,Ozono,µg/m³,685,Calusco d'Adda v. Caduti sul Lavoro,273,BG,Calusco d'Adda,N,30/06/2006,,5059767,537706,45.69042907854514,9.484260927647789,"(45.69042907854514, 9.484260927647789)"
5658,Biossido di Zolfo,µg/m³,552,Varese v.Vidoletti,425,VA,Varese,N,23/12/1991,,5075945,484773,45.83690077655548,8.80392612667495,"(45.83690077655548, 8.80392612667495)"
5576,Biossido di Azoto,µg/m³,573,Colico v.La Madoneta,229,LC,Colico,N,05/11/1996,,5109468,529713,46.1381409051264,9.384687247651794,"(46.1381409051264, 9.384687247651794)"
10006,Biossido di Zolfo,µg/m³,684,Truccazzano via Fornasino,105,MI,Truccazzano,S,17/02/2006,01/01/2018,5036889,536835,45.48455813667995,9.471348388974729,"(45.48455813667995, 9.471348388974729)"
6862,Monossido di Carbonio,mg/m³,661,Rezzato v.De Gasperi,147,BS,Rezzato,N,24/11/1999,,5041110,604367,45.51570829484459,10.336240422996532,"(45.51570829484459, 10.336240422996532)"
5955,Biossido di Azoto,µg/m³,628,Cremona p.zza Libertà,61,CR,Cremona,S,01/11/1992,04/04/2006,4998730,581171,45.13737896273478,10.032359066275932,"(45.13737896273478, 10.032359066275932)"
9928,Biossido di Azoto,µg/m³,677,Cremona Via Fatebenefratelli,43,CR,Cremona,N,11/04/2006,,4999315,582066,45.14254063221695,10.043836158369393,"(45.14254063221695, 10.043836158369393)"
10475,Biossido di Azoto,µg/m³,1267,Turano Lodigiano v. Gramsci,65,LO,Turano Lodigiano,S,03/08/2009,31/03/2017,5010942,548751,45.25028308918456,9.62125819274314,"(45.25028308918456, 9.62125819274314)"
12673,Nikel,ng/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,01/04/2008,,5113073,567873,46.167852440665115,9.879209924469903,"(46.167852440665115, 9.879209924469903)"
6330,Ossidi di Azoto,µg/m³,542,Meda v. Gagarin,222,MB,Meda,N,01/11/1995,,5056480,512203,45.66176219189168,9.156643984551597,"(45.66176219189168, 9.156643984551597)"
5728,Ozono,µg/m³,594,Bergamo v.Goisis,290,BG,Bergamo,S,13/09/1996,01/01/2018,5062715,553620,45.715912469852206,9.688958745309764,"(45.715912469852206, 9.688958745309764)"
12687,Piombo,ng/m³,633,Soresina v. Landriani,70,CR,Soresina,N,01/04/2008,,5014860,567712,45.28397715446764,9.863398419993635,"(45.28397715446764, 9.863398419993635)"
12617,Benzo(a)pirene,ng/m³,670,Mantova S.Agnese,22,MN,Mantova,N,19/02/2008,,5002356,641122,45.16056833010576,10.79556411370788,"(45.16056833010576, 10.79556411370788)"
5651,Biossido di Zolfo,µg/m³,501,Milano v.Marche,129,MI,Milano,S,07/11/1973,05/04/1999,5038105,514918,45.49631644365102,9.190933555313624,"(45.49631644365102, 9.190933555313624)"
20489,Ossidi di Azoto,µg/m³,1800,Brescia S.Polo,124,BS,Brescia,N,,,5040227,598141,45.5086667998462,10.256370247433845,"(45.5086667998462, 10.256370247433845)"
6782,Monossido di Carbonio,mg/m³,652,Brescia v.Turati,154,BS,Brescia,N,12/01/1999,,5043626,596168,45.539529434955995,10.231785907477223,"(45.539529434955995, 10.231785907477223)"
6722,Particolato Totale Sospeso,µg/m³,644,Vigevano v.Petrarca,107,PV,Vigevano,S,29/05/2002,05/06/2002,5019220,489053,45.326401500542325,8.860310253579987,"(45.326401500542325, 8.860310253579987)"
10390,PM10 (SM2005),µg/m³,556,Gallarate  P.zza S.Lorenzo,240,VA,Gallarate,S,01/01/2003,30/07/2018,5056010,484229,45.65745982503037,8.797570832831466,"(45.65745982503037, 8.797570832831466)"
6898,Biossido di Azoto,µg/m³,668,Mantova Lunetta2,25,MN,Mantova,S,01/01/2003,30/07/2018,5002119,643358,45.157985278189244,10.823931433968092,"(45.157985278189244, 10.823931433968092)"
10330,Particolato Totale Sospeso,µg/m³,708,Parona v. della Miseria,112,PV,Parona,S,08/08/2007,20/10/2010,5014300,480733,45.281935610357905,8.754334594539825,"(45.281935610357905, 8.754334594539825)"
9861,Ozono,µg/m³,673,Voghera v.Pozzoni,90,PV,Voghera,N,05/07/2005,,4982900,500665,44.99954598914026,9.008437381815693,"(44.99954598914026, 9.008437381815693)"
10354,PM10 (SM2005),µg/m³,516,Robecchetto con Induno v. Pertini,135,MI,Robecchetto con Induno,S,27/06/2008,01/01/2017,5040503,481768,45.51782219008838,8.766562109244964,"(45.51782219008838, 8.766562109244964)"
5626,Biossido di Zolfo,µg/m³,537,Lainate v.Mengato,176,MI,Lainate,S,25/09/1991,18/10/2000,5046000,502013,45.56753666798259,9.025796665025974,"(45.56753666798259, 9.025796665025974)"
12668,Arsenico,ng/m³,703,Schivenoglia v. Malpasso,NULL,MN,Schivenoglia,N,23/02/2008,,4986922,663580,45.016877820755425,11.07609463264049,"(45.016877820755425, 11.07609463264049)"
10456,Particelle sospese PM2.5,µg/m³,1265,Lodi S.Alberto,76,LO,Lodi,N,03/08/2009,,5016706,538829,45.302783503095775,9.495273696926324,"(45.302783503095775, 9.495273696926324)"
5800,Monossido di Carbonio,mg/m³,563,Fino Mornasco SP27 casa dell'Alpino,304,CO,Fino Mornasco,S,20/12/1991,04/01/2012,5066055,503313,45.74804440954574,9.042592844183936,"(45.74804440954574, 9.042592844183936)"
12696,Nikel,ng/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,N,24/04/2008,,5038450,543458,45.49822713394494,9.556232262351761,"(45.49822713394494, 9.556232262351761)"
