,index,Valore_mean_max,Valore_mean_mean,Valore_mean_std,Data
79,79,214.764898989899,163.73442796408375,46.47867205100995,2020-03-20
80,80,225.03734824203576,179.74458716630593,58.14462912914127,2020-03-21
81,81,226.00526311154613,168.23769896208054,67.86573129848034,2020-03-22
82,82,229.20992063492062,167.6311441336441,84.84314207697572,2020-03-23
83,83,231.8435218586187,175.67450186877454,78.48955756510237,2020-03-24
84,84,229.12326388888889,187.6147965833014,51.17698788013368,2020-03-25
85,85,233.98159540112667,173.903407315847,63.25932773154703,2020-03-26
86,86,233.51717414529912,172.0111989571697,63.32140053615142,2020-03-27
87,87,235.12390873015872,201.90682583569813,43.687169278514205,2020-03-28
88,88,234.20961463223787,183.19744972579258,73.4987790658366,2020-03-29
89,89,242.6387116099374,184.95047415649458,65.64043464788614,2020-03-30
90,90,245.4235855131762,185.54566420912812,65.28531894069728,2020-03-31
91,91,264.29255952380953,217.38619206277878,33.66308291070289,2020-04-01
92,92,247.27636217948717,192.59314942002442,52.569273624282516,2020-04-02
93,93,250.64472631241998,171.52073144505144,92.6950730151184,2020-04-03
94,94,251.846626984127,152.43354647089024,114.48062478080298,2020-04-04
95,95,250.4940195221445,209.32236935990454,30.002537879958165,2020-04-05
96,96,256.2675276112776,226.70949698408987,51.29892567969731,2020-04-06
97,97,274.7875541125541,206.5654834748585,80.86429000754843,2020-04-07
98,98,271.0940476190476,250.93541057900433,25.432038244182035,2020-04-08
99,99,257.45678539354816,188.7911317484843,86.50676801149855,2020-04-09
100,100,267.33283799533797,171.54409264420048,90.24068679113716,2020-04-10
101,101,269.1254291715229,136.11713940573316,108.4416840062321,2020-04-11
102,102,265.25744463869466,166.32187886766013,86.08239653534761,2020-04-12
103,103,258.06118796109996,220.05266027277693,36.34122420044068,2020-04-13
104,104,288.6539718094406,210.9627037592495,86.39209514971215,2020-04-14
105,105,273.8085670405983,195.39853778630408,86.19663077326514,2020-04-15
106,106,271.4989676989677,241.83451700172873,17.85644093766598,2020-04-16
107,107,275.66477897102897,259.2696327457265,15.972908465540993,2020-04-17
108,108,268.20885572760574,230.312162004662,35.683429685477826,2020-04-18
109,109,273.2238095238095,248.9664730921413,34.41724254079435,2020-04-19
110,110,299.63024116923765,235.00582857946227,108.49439133967138,2020-04-20
111,111,296.21312506937505,217.00600338897215,89.44740015993206,2020-04-21
112,112,292.2712072649573,258.5641007508239,55.91285766525707,2020-04-22
113,113,286.90112847222224,223.10739289661825,112.80138571362328,2020-04-23
114,114,282.80319168800685,203.11604630771225,105.3451273164183,2020-04-24
115,115,284.5073279004837,206.69620487469302,100.99968962322912,2020-04-25
116,116,276.19003080253077,153.08630951532754,109.84111098192466,2020-04-26
117,117,296.176533157277,153.72052488542366,93.97184440582099,2020-04-27
118,118,309.3573179627701,219.00777394886435,76.94101708512434,2020-04-28
119,119,309.47501318126314,221.51197551739142,105.34251031468939,2020-04-29
120,120,304.5106431921463,230.61587364757696,87.28184522345225,2020-04-30
121,121,308.97799860057785,143.5942384945356,107.66104873293064,2020-05-01
122,122,301.77512959702665,226.64979436276752,102.62007482878607,2020-05-02
