,Data,valore_mean,valore_std
111,2020-04-21,296.21312506937505,18.720130034397194
112,2020-04-22,292.2712072649573,15.300266113367334
113,2020-04-23,286.90112847222224,10.431353904198904
114,2020-04-24,282.80319168800685,22.20170209843069
115,2020-04-25,284.5073279004837,37.87345555296352
116,2020-04-26,276.19003080253077,24.557304977329927
117,2020-04-27,296.176533157277,24.31601743995155
118,2020-04-28,309.3573179627701,18.51194607866086
119,2020-04-29,309.47501318126314,23.73157981392644
120,2020-04-30,304.5106431921463,20.690494364236045
121,2020-05-01,308.97799860057785,21.217264359292074
122,2020-05-02,301.77512959702665,17.559090195730526
123,2020-05-03,307.0571241258741,26.618944849397803
124,2020-05-04,291.2263888888889,33.54630838067722
125,2020-05-05,310.79545454545456,39.72690266987363
126,2020-05-06,325.7176798028361,22.230490510821042
