,valore
2020-11-29,79.6905
2020-11-30,78.8389
2020-12-01,78.0253
2020-12-02,77.2498
2020-12-03,76.5126
2020-12-04,75.8141
2020-12-05,75.1544
2020-12-06,74.5337
2020-12-07,73.9522
2020-12-08,73.41
2020-12-09,72.9073
2020-12-10,72.4444
2020-12-11,72.0212
2020-12-12,71.6379
2020-12-13,71.2947
2020-12-14,70.9916
2020-12-15,70.7288
2020-12-16,70.5062
2020-12-17,70.3241
2020-12-18,70.1823
2020-12-19,70.081
2020-12-20,70.0203
2020-12-21,70.0
2020-12-22,70.0203
2020-12-23,70.081
2020-12-24,70.1823
2020-12-25,70.3241
2020-12-26,70.5062
2020-12-27,70.7288
2020-12-28,70.9916
2020-12-29,71.2947
2020-12-30,71.6379
2020-12-31,72.0212
