,month,day,press_mean,press_std,year,Data
33,2,3,1004.15,4.647902752855297,2020,2020-02-03
34,2,4,1008.65,6.319414529843725,2020,2020-02-04
35,2,5,1012.3166666666666,7.711657841648988,2020,2020-02-05
36,2,6,1011.9833333333332,10.422939444641637,2020,2020-02-06
37,2,7,1006.5333333333333,10.060748812422808,2020,2020-02-07
38,2,8,1007.1833333333334,11.939919039368156,2020,2020-02-08
39,2,9,1008.0500000000001,11.58874453942274,2020,2020-02-09
40,2,10,1003.0166666666668,10.476720224701403,2020,2020-02-10
41,2,11,1004.8666666666667,6.020188258407417,2020,2020-02-11
42,2,12,1010.4666666666667,9.269232258750844,2020,2020-02-12
43,2,13,1013.9500000000002,14.690507138965625,2020,2020-02-13
44,2,14,1015.3666666666668,16.807815642333377,2020,2020-02-14
45,2,15,1018.9500000000002,12.819945397699653,2020,2020-02-15
46,2,16,1019.3166666666666,4.025129397505944,2020,2020-02-16
47,2,17,1015.0500000000001,3.522357165308478,2020,2020-02-17
48,2,18,1013.6166666666667,3.6760939414909997,2020,2020-02-18
49,2,19,1012.7833333333333,3.7647930443340987,2020,2020-02-19
50,2,20,1013.9333333333334,5.011453548289861,2020,2020-02-20
51,2,21,1012.9166666666666,6.555430318954362,2020,2020-02-21
52,2,22,1013.65,8.322679856872988,2020,2020-02-22
53,2,23,1013.7166666666667,11.640002863688084,2020,2020-02-23
54,2,24,1011.8000000000001,13.325764518405709,2020,2020-02-24
55,2,25,1011.9,10.528437680871702,2020,2020-02-25
56,2,26,1008.3333333333334,10.028293307770113,2020,2020-02-26
57,2,27,1007.5833333333334,6.638498826290956,2020,2020-02-27
58,2,28,1007.5833333333334,11.114929899314117,2020,2020-02-28
59,2,29,1000.95,10.818733752154184,2020,2020-02-29
60,3,1,1005.8833333333333,9.300627218992657,2020,2020-03-01
61,3,2,1003.0166666666668,12.333761253837663,2020,2020-03-02
62,3,3,1002.2666666666668,13.60495007953598,2020,2020-03-03
63,3,4,1002.0666666666666,6.995903563276612,2020,2020-03-04
64,3,5,998.8333333333334,6.482180703024821,2020,2020-03-05
