,Data,NomeTipoSensore,Valore_interesse,Count_sensori,Indice testuale,Indice numerico
183,1996-02-06,PM10 (SM2005),,,ND,0
184,1996-02-06,Particelle sospese PM2.5,,,ND,0
185,1996-02-07,Biossido di Azoto,105.53333333333332,33.0,Accettabile,3
186,1996-02-07,Biossido di Zolfo,45.713793103448275,29.0,Molto Buona,5
187,1996-02-07,Ozono,28.93125,16.0,Molto Buona,5
188,1996-02-07,PM10 (SM2005),,,ND,0
189,1996-02-07,Particelle sospese PM2.5,,,ND,0
190,1996-02-08,Biossido di Azoto,118.39090909090906,33.0,Accettabile,3
191,1996-02-08,Biossido di Zolfo,68.64482758620689,29.0,Molto Buona,5
192,1996-02-08,Ozono,37.12500000000001,16.0,Molto Buona,5
193,1996-02-08,PM10 (SM2005),,,ND,0
194,1996-02-08,Particelle sospese PM2.5,,,ND,0
195,1996-02-09,Biossido di Azoto,150.15454545454546,33.0,Accettabile,3
196,1996-02-09,Biossido di Zolfo,78.71724137931035,29.0,Molto Buona,5
197,1996-02-09,Ozono,51.318749999999994,16.0,Molto Buona,5
198,1996-02-09,PM10 (SM2005),,,ND,0
199,1996-02-09,Particelle sospese PM2.5,,,ND,0
200,1996-02-10,Biossido di Azoto,126.303125,32.0,Accettabile,3
201,1996-02-10,Biossido di Zolfo,54.97142857142858,28.0,Molto Buona,5
202,1996-02-10,Ozono,20.9875,16.0,Molto Buona,5
203,1996-02-10,PM10 (SM2005),,,ND,0
204,1996-02-10,Particelle sospese PM2.5,,,ND,0
205,1996-02-11,Biossido di Azoto,106.18484848484847,33.0,Accettabile,3
206,1996-02-11,Biossido di Zolfo,52.04827586206897,29.0,Molto Buona,5
207,1996-02-11,Ozono,34.699999999999996,16.0,Molto Buona,5
208,1996-02-11,PM10 (SM2005),,,ND,0
209,1996-02-11,Particelle sospese PM2.5,,,ND,0
210,1996-02-12,Biossido di Azoto,131.3181818181818,33.0,Accettabile,3
211,1996-02-12,Biossido di Zolfo,52.809999999999995,30.0,Molto Buona,5
212,1996-02-12,Ozono,38.06250000000001,16.0,Molto Buona,5
213,1996-02-12,PM10 (SM2005),,,ND,0
214,1996-02-12,Particelle sospese PM2.5,,,ND,0
215,1996-02-13,Biossido di Azoto,125.16363636363639,33.0,Accettabile,3
216,1996-02-13,Biossido di Zolfo,48.649999999999984,30.0,Molto Buona,5
217,1996-02-13,Ozono,32.81875,16.0,Molto Buona,5
218,1996-02-13,PM10 (SM2005),,,ND,0
219,1996-02-13,Particelle sospese PM2.5,,,ND,0
220,1996-02-14,Biossido di Azoto,182.239393939394,33.0,Accettabile,3
221,1996-02-14,Biossido di Zolfo,78.44333333333333,30.0,Molto Buona,5
222,1996-02-14,Ozono,24.612499999999997,16.0,Molto Buona,5
223,1996-02-14,PM10 (SM2005),,,ND,0
224,1996-02-14,Particelle sospese PM2.5,,,ND,0
225,1996-02-15,Biossido di Azoto,199.2030303030303,33.0,Accettabile,3
226,1996-02-15,Biossido di Zolfo,89.4,30.0,Molto Buona,5
227,1996-02-15,Ozono,36.56875,16.0,Molto Buona,5
228,1996-02-15,PM10 (SM2005),,,ND,0
229,1996-02-15,Particelle sospese PM2.5,,,ND,0
230,1996-02-16,Biossido di Azoto,174.63939393939398,33.0,Accettabile,3
231,1996-02-16,Biossido di Zolfo,82.83333333333333,30.0,Molto Buona,5
232,1996-02-16,Ozono,35.06875,16.0,Molto Buona,5
233,1996-02-16,PM10 (SM2005),,,ND,0
234,1996-02-16,Particelle sospese PM2.5,,,ND,0
235,1996-02-17,Biossido di Azoto,133.30606060606058,33.0,Accettabile,3
236,1996-02-17,Biossido di Zolfo,72.79666666666665,30.0,Molto Buona,5
237,1996-02-17,Ozono,64.30625,16.0,Molto Buona,5
238,1996-02-17,PM10 (SM2005),,,ND,0
239,1996-02-17,Particelle sospese PM2.5,,,ND,0
240,1996-02-18,Biossido di Azoto,99.76969696969697,33.0,Buona,4
241,1996-02-18,Biossido di Zolfo,33.70333333333333,30.0,Molto Buona,5
242,1996-02-18,Ozono,59.83749999999999,16.0,Molto Buona,5
243,1996-02-18,PM10 (SM2005),,,ND,0
244,1996-02-18,Particelle sospese PM2.5,,,ND,0
245,1996-02-19,Biossido di Azoto,117.89090909090909,33.0,Accettabile,3
246,1996-02-19,Biossido di Zolfo,36.91333333333333,30.0,Molto Buona,5
247,1996-02-19,Ozono,41.37500000000001,16.0,Molto Buona,5
248,1996-02-19,PM10 (SM2005),,,ND,0
249,1996-02-19,Particelle sospese PM2.5,,,ND,0
